职位名称,公司名称,融资情况,教育程度,工作年限,薪资水平,员工人数,创建时间,职位网址
三维动画师 ,数虎图像,已上市,本科,3-5年,10K-15K,100-499人,,https://www.zhipin.com/job_detail/1411597925.html
Camera驱动工程师 ,麦极客图像,天使轮,本科,3-5年,15K-25K,0-20人,,https://www.zhipin.com/job_detail/1411339508.html
U3D ,数虎图像,已上市,本科,3-5年,10K-20K,100-499人,,https://www.zhipin.com/job_detail/1410554762.html
三维/CAD/制图 ,华志图像,不需要融资,中专及以下,1年以内,3K-6K,0-20人,,https://www.zhipin.com/job_detail/1411478260.html
游戏场景 ,数虎图像,已上市,大专,1-3年,6K-12K,100-499人,,https://www.zhipin.com/job_detail/1410771977.html
原画师 ,数虎图像,已上市,本科,3-5年,8K-14K,100-499人,,https://www.zhipin.com/job_detail/1410502069.html
原画师 ,数虎图像,已上市,本科,5-10年,10K-15K,100-499人,,https://www.zhipin.com/job_detail/1407128150.html
项目管理 ,麦极客图像,天使轮,大专,1-3年,10K-15K,0-20人,,https://www.zhipin.com/job_detail/1411302014.html
资深文案 ,数虎图像,已上市,本科,5-10年,10K-15K,100-499人,,https://www.zhipin.com/job_detail/1407119724.html
商务渠道 ,麦极客图像,天使轮,大专,1-3年,10K-15K,0-20人,,https://www.zhipin.com/job_detail/1411189670.html
高级图像视频算法专家 ,迅雷网络,已上市,硕士,3-5年,20K-35K,1000-9999人,,https://www.zhipin.com/job_detail/1411549801.html
视频/图形开发 ,麦极客图像,天使轮,本科,经验不限,15K-20K,0-20人,,https://www.zhipin.com/job_detail/1407387500.html
图像算法工程师 ,紫薇帝星,,硕士,1-3年,12K-18K,,,https://www.zhipin.com/job_detail/1411589784.html
图像处理工程师 ,茁壮网络,D轮及以上,硕士,3-5年,10K-20K,500-999人,,https://www.zhipin.com/job_detail/1411532808.html
视觉设计师 ,数虎图像,已上市,本科,3-5年,12K-15K,100-499人,,https://www.zhipin.com/job_detail/1407119633.html
三维动画师 ,数虎图像,已上市,本科,3-5年,10K-15K,100-499人,,https://www.zhipin.com/job_detail/1411597925.html
Camera驱动工程师 ,麦极客图像,天使轮,本科,3-5年,15K-25K,0-20人,,https://www.zhipin.com/job_detail/1411339508.html
U3D ,数虎图像,已上市,本科,3-5年,10K-20K,100-499人,,https://www.zhipin.com/job_detail/1410554762.html
三维/CAD/制图 ,华志图像,不需要融资,中专及以下,1年以内,3K-6K,0-20人,,https://www.zhipin.com/job_detail/1411478260.html
游戏场景 ,数虎图像,已上市,大专,1-3年,6K-12K,100-499人,,https://www.zhipin.com/job_detail/1410771977.html
原画师 ,数虎图像,已上市,本科,3-5年,8K-14K,100-499人,,https://www.zhipin.com/job_detail/1410502069.html
原画师 ,数虎图像,已上市,本科,5-10年,10K-15K,100-499人,,https://www.zhipin.com/job_detail/1407128150.html
项目管理 ,麦极客图像,天使轮,大专,1-3年,10K-15K,0-20人,,https://www.zhipin.com/job_detail/1411302014.html
资深文案 ,数虎图像,已上市,本科,5-10年,10K-15K,100-499人,,https://www.zhipin.com/job_detail/1407119724.html
商务渠道 ,麦极客图像,天使轮,大专,1-3年,10K-15K,0-20人,,https://www.zhipin.com/job_detail/1411189670.html
高级图像视频算法专家 ,迅雷网络,已上市,硕士,3-5年,20K-35K,1000-9999人,,https://www.zhipin.com/job_detail/1411549801.html
视频/图形开发 ,麦极客图像,天使轮,本科,经验不限,15K-20K,0-20人,,https://www.zhipin.com/job_detail/1407387500.html
图像算法工程师 ,紫薇帝星,,硕士,1-3年,12K-18K,,,https://www.zhipin.com/job_detail/1411589784.html
图像处理工程师 ,茁壮网络,D轮及以上,硕士,3-5年,10K-20K,500-999人,,https://www.zhipin.com/job_detail/1411532808.html
视觉设计师 ,数虎图像,已上市,本科,3-5年,12K-15K,100-499人,,https://www.zhipin.com/job_detail/1407119633.html
图像算法 ,苏州精创,,本科,3-5年,10K-20K,,,https://www.zhipin.com/job_detail/1411408053.html
图像识别算法工程师 ,微光视界,未融资,硕士,1-3年,10K-20K,0-20人,,https://www.zhipin.com/job_detail/1411475380.html
视频后期制作 ,数虎图像,已上市,大专,1-3年,7K-14K,100-499人,,https://www.zhipin.com/job_detail/1401589579.html
图像算法工程师 ,远光软件,已上市,本科,3-5年,10K-15K,1000-9999人,,https://www.zhipin.com/job_detail/1411488555.html
图像算法高级工程师 ,亚洲视觉,,硕士,3-5年,15K-25K,,,https://www.zhipin.com/job_detail/1411399682.html
图像识别 ,股利科技,不需要融资,硕士,1年以内,10K-20K,20-99人,,https://www.zhipin.com/job_detail/1411267990.html
图像算法 ,股利科技,不需要融资,硕士,1年以内,10K-20K,20-99人,,https://www.zhipin.com/job_detail/1411267976.html
图像识别算法工程师 ,聆感家科技,,本科,经验不限,20K-35K,,,https://www.zhipin.com/job_detail/1411387282.html
图像算法 ,科创数字,未融资,硕士,1-3年,10K-20K,100-499人,,https://www.zhipin.com/job_detail/1411155425.html
图像识别技术专家 ,益投后,天使轮,本科,5-10年,35K-60K,20-99人,,https://www.zhipin.com/job_detail/1411487990.html
舞台美术，多媒体设计师 ,数虎图像,已上市,大专,1-3年,7K-14K,100-499人,,https://www.zhipin.com/job_detail/1401582099.html
图像质量调试 ,软通动力,已上市,本科,经验不限,8K-15K,10000人以上,,https://www.zhipin.com/job_detail/1410943710.html
图像算法工程师 ,信炜科技,不需要融资,本科,3-5年,12K-18K,100-499人,,https://www.zhipin.com/job_detail/1411480988.html
图像算法 ,异方科技,天使轮,本科,经验不限,10K-20K,0-20人,,https://www.zhipin.com/job_detail/1411253375.html
图像测试 ,软通动力,已上市,本科,经验不限,8K-15K,10000人以上,,https://www.zhipin.com/job_detail/1410943662.html
图像质量测试 ,软通动力,已上市,本科,1-3年,8K-12K,10000人以上,,https://www.zhipin.com/job_detail/1410965477.html
图像处理算法优化工程师 ,华汉伟业科技有限公司,,硕士,1-3年,8K-15K,,,https://www.zhipin.com/job_detail/1410595085.html
室内设计 ,数虎图像,已上市,本科,5-10年,15K-20K,100-499人,,https://www.zhipin.com/job_detail/1404886706.html
图像处理 ,中软国际,已上市,大专,5-10年,28K-40K,10000人以上,,https://www.zhipin.com/job_detail/1410758251.html
算法工程师（图形图像方向） ,云智数据,A轮,本科,3-5年,8K-16K,20-99人,,https://www.zhipin.com/job_detail/1411148037.html
人工智能工程师-图像处理 ,小牛资本集团,未融资,硕士,3-5年,20K-40K,10000人以上,,https://www.zhipin.com/job_detail/1410989157.html
图像视屏软件开发工程师 ,珠海习悦,A轮,本科,经验不限,15K-30K,20-99人,,https://www.zhipin.com/job_detail/1411259363.html
图像识别高级工程师 ,华大基因,D轮及以上,本科,5-10年,20K-35K,1000-9999人,,https://www.zhipin.com/job_detail/1406766443.html
图像算法工程师 ,保千里集团,已上市,本科,3-5年,15K-30K,1000-9999人,,https://www.zhipin.com/job_detail/1407099163.html
机器视觉/图像处理/算法工程师 ,智果门管家,天使轮,大专,经验不限,10K-20K,20-99人,,https://www.zhipin.com/job_detail/1410709678.html
图像识别 ,ai4health,,本科,经验不限,8K-16K,,,https://www.zhipin.com/job_detail/1410555174.html
图像质量测试 ,软通动力,已上市,本科,1-3年,8K-16K,10000人以上,,https://www.zhipin.com/job_detail/1407302108.html
UI/UE设计师 ,麦极客图像,天使轮,本科,3-5年,6K-12K,0-20人,,https://www.zhipin.com/job_detail/1406589254.html
高级图像识别算法工程师 ,尊豪网络,A轮,硕士,3-5年,20K-30K,100-499人,,https://www.zhipin.com/job_detail/1410611157.html
舞美设计 ,数虎图像,已上市,本科,3-5年,10K-15K,100-499人,,https://www.zhipin.com/job_detail/1407131225.html
Unity3D开发工程师 ,麦极客图像,天使轮,本科,3-5年,10K-20K,0-20人,,https://www.zhipin.com/job_detail/1406589207.html
Java服务器主程 ,麦极客图像,天使轮,本科,5-10年,25K-40K,0-20人,,https://www.zhipin.com/job_detail/1406588948.html
