mysql> select * from simplejob;
+---------+--------------------------------------------------------------------------------------+-----------+-----------------------------------------------------+----------------------------+---------------+----------------+------------+-------------+------------+-------------+---------------------+
| job_id  | job_name                                                                             | education | company_full_name                                   | finance_stage              | work_year_low | work_year_high | salary_low | salary_high | staffs_low | staffs_high | create_time         |
+---------+--------------------------------------------------------------------------------------+-----------+-----------------------------------------------------+----------------------------+---------------+----------------+------------+-------------+------------+-------------+---------------------+
|  402416 | 图像算法工程师                                                                       | 本科      | 深圳市脸萌科技有限公司                              | 成长型(A轮)                |             3 |              5 |         15 |          25 |         15 |          50 | 2017-03-01 10:45:45 |
|  538408 | 图像算法工程师                                                                       | 硕士      | 深圳可思美科技有限公司                              | 成长型(B轮)                |             0 |              0 |         15 |          30 |        150 |         500 | 2017-04-05 09:47:10 |
|  755800 | 图像（ISP）工程师                                                                    | 本科      | 深圳英飞拓科技股份有限公司                          | 上市公司                   |             3 |              5 |         10 |          20 |        500 |        2000 | 2017-04-05 09:57:29 |
|  898052 | 图像算法研发工程师                                                                   | 硕士      | 智慧光科技（深圳）有限公司                          | 初创型(不需要融资)         |             1 |              3 |         10 |          20 |         15 |          50 | 2017-03-08 14:33:48 |
| 1024273 | 图像算法工程师                                                                       | 本科      | 深圳市高巨创新科技开发有限公司                      | 成长型(不需要融资)         |             1 |              3 |         12 |          20 |        150 |         500 | 2017-04-06 09:23:48 |
| 1210232 | 图像算法研发工程师                                                                   | 本科      | 红蝶科技（深圳）有限公司                            | 初创型(未融资)             |             1 |              3 |         10 |          20 |        150 |         500 | 2017-03-30 10:02:22 |
| 1303337 | 图像算法工程师（深圳）                                                               | 本科      | 厦门美图之家科技有限公司                            | 上市公司                   |             1 |              3 |         13 |          25 |        500 |        2000 | 2017-04-07 10:00:05 |
| 1484824 | 资深图像算法软件工程师                                                               | 硕士      | 万兴科技股份有限公司                                | 成长型(B轮)                |             5 |             10 |         30 |          30 |        150 |         500 | 2017-04-07 13:50:45 |
| 1510383 | 算法工程师－视觉与图像处理                                                           | 硕士      | 深圳市阿西莫夫科技有限公司                          | 成长型(A轮)                |             1 |              3 |         20 |          30 |         15 |          50 | 2017-04-07 16:35:22 |
| 1866458 | 图像算法工程师                                                                       | 本科      | 深圳岚锋创视网络科技有限公司                        | 成长型(B轮)                |             3 |              5 |         20 |          40 |        150 |         500 | 2017-04-01 09:56:28 |
| 2206354 | 算法工程师（三维图形图像）                                                           | 本科      | 西安蒜泥电子科技有限责任公司                        | 成长型(A轮)                |             1 |              3 |         12 |          24 |        150 |         500 | 2017-04-09 09:22:32 |
| 2232029 | 图像算法工程师                                                                       | 硕士      | 广州市沃楼商贸有限公司                              | 成长型(不需要融资)         |             0 |              0 |         15 |          30 |        150 |         500 | 2017-04-05 17:44:02 |
| 2265233 | 图像处理工程师                                                                       | 本科      | 维沃移动通信有限公司                                | 初创型(未融资)             |             3 |              5 |         20 |          40 |       2000 |        2000 | 2017-04-05 10:59:46 |
| 2361596 | 高级C++图像算法工程师                                                                | 本科      | 万兴科技股份有限公司                                | 成长型(B轮)                |             3 |              5 |         20 |          40 |        150 |         500 | 2017-04-07 13:50:46 |
| 2436665 | 图像算法工程师A                                                                      | 硕士      | 深圳泰山体育科技股份有限公司                        | 成长型(不需要融资)         |             3 |              5 |         15 |          25 |        150 |         500 | 2017-04-07 09:10:33 |
| 2451194 | ISP图像处理工程师                                                                    | 本科      | 深圳市易瞳科技有限公司                              | 成长型(A轮)                |             1 |              3 |         15 |          30 |         15 |          50 | 2017-03-29 17:07:38 |
| 2467945 | 图像技术规划高级经理                                                                 | 本科      | 维沃移动通信有限公司                                | 初创型(未融资)             |             5 |             10 |         30 |          60 |       2000 |        2000 | 2017-04-05 10:59:45 |
| 2596272 | 图像识别深度学习工程师                                                               | 本科      | 深圳市前海树人时代教育投资有限公司                  | 成长型(A轮)                |             0 |              0 |         15 |          30 |         15 |          50 | 2017-03-28 09:33:47 |
| 2600247 | 图像处理算法工程师                                                                   | 硕士      | 深圳市华尊科技股份有限公司                          | 上市公司                   |             1 |              3 |         10 |          10 |        150 |         500 | 2017-04-07 09:15:29 |
| 2631480 | 硬件工程师(图像传感器方向)                                                           | 本科      | 深圳市比特原子科技有限公司                          | 成长型(A轮)                |             3 |              5 |         10 |          15 |         15 |          50 | 2017-03-08 11:02:54 |
| 2638164 | 图像工程师                                                                           | 本科      | 深圳岚锋创视网络科技有限公司                        | 成长型(B轮)                |             3 |              5 |         10 |          18 |        150 |         500 | 2017-04-01 09:56:28 |
| 2647754 | 图像特效设计师（滤镜）-深圳                                                          | 不限      | 厦门美图之家科技有限公司                            | 上市公司                   |             1 |              3 |          8 |          15 |        500 |        2000 | 2017-04-07 09:59:58 |
| 2691730 | 嵌入式软件工程师摄像机工程师NVR音视频图像底层存储                                    | 本科      | 深圳市景阳科技股份有限公司                          | 初创型(未融资)             |             1 |              3 |         10 |          20 |        500 |        2000 | 2017-03-20 13:34:34 |
| 2707173 | 图像算法开发工程师                                                                   | 硕士      | 深圳市创客工场科技有限公司                          | 成长型(B轮)                |             3 |              5 |         20 |          35 |        150 |         500 | 2017-04-05 10:02:46 |
| 2709187 | 图像处理算法工程师                                                                   | 硕士      | 深圳市旭东数字医学影像技术有限公司                  | 初创型(未融资)             |             1 |              3 |         10 |          20 |         50 |         150 | 2017-03-15 14:49:06 |
| 2709204 | 基础研发-高级图像研发工程师                                                          | 本科      | 深圳市迅雷网络技术有限公司                          | 上市公司                   |             3 |              5 |         15 |          30 |        500 |        2000 | 2017-04-05 18:36:11 |
| 2733545 | 图像识别高级工程师                                                                   | 本科      | 深圳华大基因研究院                                  | 成熟型(D轮及以上)          |             3 |              5 |         20 |          35 |       2000 |        2000 | 2017-03-06 15:47:20 |
| 2735569 | 资深算法工程师（图像视觉方向）                                                       | 博士      | 深圳市云之梦科技有限公司                            | 成长型(A轮)                |             5 |             10 |         30 |          60 |         50 |         150 | 2017-04-05 19:38:17 |
| 2735579 | 资深算法工程师（图像处理方向）                                                       | 博士      | 深圳市云之梦科技有限公司                            | 成长型(A轮)                |             5 |             10 |         30 |          60 |         50 |         150 | 2017-04-05 19:38:17 |
| 2735585 | 高级算法工程师（图像视觉）                                                           | 硕士      | 深圳市云之梦科技有限公司                            | 成长型(A轮)                |             3 |              5 |         18 |          36 |         50 |         150 | 2017-04-05 19:38:17 |
| 2735587 | 高级算法工程师（图像处理）                                                           | 硕士      | 深圳市云之梦科技有限公司                            | 成长型(A轮)                |             3 |              5 |         18 |          36 |         50 |         150 | 2017-04-05 19:38:17 |
| 2735596 | 算法工程师（图像视觉）                                                               | 本科      | 深圳市云之梦科技有限公司                            | 成长型(A轮)                |             1 |              3 |         10 |          20 |         50 |         150 | 2017-04-05 19:38:16 |
| 2735604 | 算法工程师（图像处理）                                                               | 本科      | 深圳市云之梦科技有限公司                            | 成长型(A轮)                |             1 |              3 |         10 |          20 |         50 |         150 | 2017-04-05 19:38:16 |
| 2735605 | 算法工程师（图像处理）                                                               | 本科      | 深圳市云之梦科技有限公司                            | 成长型(A轮)                |             1 |              3 |         10 |          20 |         50 |         150 | 2017-04-05 19:38:16 |
| 2736785 | 图像算法工程师                                                                       | 本科      | 深圳市哈博森智能股份有限公司                        | 初创型(未融资)             |             3 |              5 |         15 |          20 |        150 |         500 | 2017-04-06 19:18:06 |
| 2750789 | 图像识别工程师                                                                       | 本科      | 维沃移动通信有限公司                                | 初创型(未融资)             |             3 |              5 |         20 |          40 |       2000 |        2000 | 2017-04-05 10:59:44 |
| 2821170 | 图像质量测试                                                                         | 本科      | 北京通力互联技术服务有限公司                        | 成熟型(不需要融资)         |             1 |              3 |          7 |          13 |       2000 |        2000 | 2017-03-01 15:25:29 |
| 2829879 | 图像处理算法工程师                                                                   | 本科      | 深圳市速腾聚创科技有限公司                          | 成长型(B轮)                |             1 |              3 |         15 |          30 |         50 |         150 | 2017-04-07 09:44:11 |
| 2834676 | 人工智能图像方向博士后（金蝶集团研究院清华大学联合培养）                             | 博士      | 金蝶软件（中国）有限公司                            | 上市公司                   |             0 |              0 |         20 |          25 |       2000 |        2000 | 2017-02-22 17:48:29 |
| 2836276 | 图像算法工程师                                                                       | 本科      | 深圳市伙伴行网络科技有限公司                        | 成长型(不需要融资)         |             3 |              5 |         30 |          40 |         50 |         150 | 2017-03-31 08:50:20 |
| 2847051 | 计算机视觉/图像处理算法工程师                                                        | 本科      | 深圳市弘金地网球发展有限公司                        | 成长型(不需要融资)         |             1 |              3 |         14 |          28 |        150 |         500 | 2017-04-04 16:53:45 |
| 2847989 | 图像算法工程师                                                                       | 硕士      | 深圳市菁优网络科技有限公司                          | 上市公司                   |             1 |              3 |         20 |          30 |        150 |         500 | 2017-04-07 09:41:45 |
| 2855600 | Rendering Programmer图像程序员                                                       | 本科      | 柳叶刀科技（深圳）有限公司                          | 初创型(天使轮)             |             5 |             10 |         20 |          40 |         15 |          50 | 2017-04-06 10:59:05 |
