职位名称,公司名称,融资情况,教育程度,工作年限,薪资水平,员工人数,创建时间,职位网址
软件工程师,圆周率,,本科或以上,2年工作经验,10-18万,,,https://www.liepin.com/job/198737828.shtml
图像处理算法工程师,旭东,,硕士或以上,1年工作经验,12-24万,,,https://www.liepin.com/job/198077348.shtml
图像算法工程师,柔宇科技,,本科或以上,5年工作经验,面议,,,https://www.liepin.com/job/198608961.shtml
图像效果工程师（Tuning）,OPPO移动通信,,本科或以上,1年工作经验,面议,,,https://www.liepin.com/job/197696243.shtml
高级爬虫工程师,深圳市几何图像科技有限公司,,本科或以上,3年工作经验,20-33万,,,https://www.liepin.com/job/198176435.shtml
算法工程师 （图像优化）,深圳市知名科技有限公司,,本科或以上,2年工作经验,26-46万,,,https://www.liepin.com/a/9407364.shtml
高级图像算法开发工程师,某新创互联网公司,,硕士或以上,2年工作经验,20-50万,,,https://www.liepin.com/a/8350376.shtml
高级图像视频研发工程师,国内某上市公司,,本科或以上,3年工作经验,30-60万,,,https://www.liepin.com/a/9325057.shtml
高级ISP图像算法工程师,无人机公司(即将上市),,硕士或以上,6年工作经验,50-80万,,,https://www.liepin.com/a/8909084.shtml
高级图像算法开发工程师,某上海拿到C轮的互联网公司,,硕士或以上,1年工作经验,20-50万,,,https://www.liepin.com/a/8072610.shtml
高级图像识别工程师/图像识别工程师,国内某知名高新技术企业,,硕士或以上,2年工作经验,30-50万,,,https://www.liepin.com/a/8866608.shtml
Android Camera Software Engineer,文思海辉,,本科或以上,3年工作经验,18-30万,,,https://www.liepin.com/job/198567628.shtml
视频算法工程师,深圳市有为信息技术发展有限公司,,本科或以上,3年工作经验,17-29万,,,https://www.liepin.com/job/198004401.shtml
视觉算法工程师,美的集团中央研究院,,硕士或以上,2年工作经验,25-49万,,,https://www.liepin.com/job/198436706.shtml
高级人工智能算法工程师,小道科技,,本科或以上,4年工作经验,面议,,,https://www.liepin.com/job/198048762.shtml
计算机视觉专家,美的集团中央研究院,,硕士或以上,5年工作经验,35-63万,,,https://www.liepin.com/job/198436732.shtml
计算机视觉,美的集团中央研究院,,硕士或以上,5年工作经验,28-56万,,,https://www.liepin.com/job/198436881.shtml
人脸识别高级开发工程师,小道科技,,本科或以上,1年工作经验,面议,,,https://www.liepin.com/job/197384170.shtml
嵌入式软件工程师,倍量电子,,本科或以上,5年工作经验,7-14万,,,https://www.liepin.com/job/194589568.shtml
高级软件工程师,兴禾自动化,,大专或以上,5年工作经验,12-24万,,,https://www.liepin.com/job/197726249.shtml
自动化软件工程师,兴禾自动化,,大专或以上,2年工作经验,12-24万,,,https://www.liepin.com/job/198450627.shtml
硬件工程师,智慧树,,本科或以上,5年工作经验,面议,,,https://www.liepin.com/job/198358453.shtml
质检员,华丰世纪投,,大专或以上,5年工作经验,10-12万,,,https://www.liepin.com/job/197806138.shtml
深度学习研发总监,小道科技,,硕士或以上,经验不限,面议,,,https://www.liepin.com/job/197371233.shtml
软件工程师（珠海）,珠海市广浩捷精密机械有限公司,,本科或以上,3年工作经验,12-18万,,,https://www.liepin.com/job/196155639.shtml
高级软件工程师（自动化）,深圳运泰利,,大专或以上,1年工作经验,14-22万,,,https://www.liepin.com/job/198439541.shtml
软件研发工程师（美颜方向）,某上市云加速服务公司（上市公司）,,学历不限,2年工作经验,25-50万,,,https://www.liepin.com/a/9154081.shtml
音频框架/驱动工程师/android/算法,某知名公司,,本科或以上,3年工作经验,31-60万,,,https://www.liepin.com/a/9047370.shtml
高级算法工程师,国内某大型医疗公司,,学历不限,2年工作经验,15-28万,,,https://www.liepin.com/a/9317046.shtml
机器视觉工程师,广东某激光科技有限公司,,本科或以上,5年工作经验,12-18万,,,https://www.liepin.com/a/8941750.shtml
计算机视觉算法工程师,广东知名集团,,硕士或以上,2年工作经验,30-60万,,,https://www.liepin.com/a/9371150.shtml
机器学习高级算法工程师,国内知名金融集团公司,,硕士或以上,3年工作经验,40-60万,,,https://www.liepin.com/a/9022168.shtml
机器学习算法工程师,某新创互联网公司,,硕士或以上,2年工作经验,20-50万,,,https://www.liepin.com/a/8473186.shtml
视频图形开发工程师,国内某上市公司,,本科或以上,3年工作经验,30-60万,,,https://www.liepin.com/a/9325073.shtml
拍照调试/拍照应用/拍照系统/camera,某知名公司,,本科或以上,2年工作经验,31-60万,,,https://www.liepin.com/a/9047406.shtml
深度学习研究员,全球某知名人工智能公司,,硕士或以上,1年工作经验,50-80万,,,https://www.liepin.com/a/8940189.shtml
机器学习 视觉算法,专业的虹膜识别技术供应商,,学历不限,5年工作经验,20-30万,,,https://www.liepin.com/a/9328072.shtml
深度学习算法工程师,国内知名医疗公司,,硕士或以上,1年工作经验,20-40万,,,https://www.liepin.com/a/9421639.shtml
高级软件工程师,深圳市南山的自动化测试设备有限公司,,本科或以上,5年工作经验,15-25万,,,https://www.liepin.com/a/8683898.shtml
ISP算法或软件 机器视觉等,某知名芯片企业,,本科或以上,经验不限,25-55万,,,https://www.liepin.com/a/9411059.shtml
FPGA工程师,　,,学历不限,1年工作经验,30-45万,,,https://www.liepin.com/a/8997654.shtml
产品总监,全球某顶级上市公司,,学历不限,3年工作经验,60-75万,,,https://www.liepin.com/a/9227232.shtml
算法工程师,大型知名互联网公司,,本科或以上,2年工作经验,20-50万,,,https://www.liepin.com/a/8636263.shtml
算法工程师,深圳某知名医疗器械公司,,硕士或以上,3年工作经验,20-35万,,,https://www.liepin.com/a/9354502.shtml
实习生（工程师）,国内某大型医疗公司,,本科或以上,2年工作经验,10-10万,,,https://www.liepin.com/a/9317030.shtml
高级软件工程师（医疗）,国内某大型医疗公司,,本科或以上,1年工作经验,12-15万,,,https://www.liepin.com/a/9317038.shtml
算法 IMU 视觉算法 Unity Windows 蓝牙,软件开发,,本科或以上,3年工作经验,30-60万,,,https://www.liepin.com/a/8915490.shtml
高级视频算法工程师,深圳知名互联网公司,,本科或以上,2年工作经验,25-35万,,,https://www.liepin.com/a/9301012.shtml
高级视频算法工程师,某上海拿到C轮的互联网公司,,硕士或以上,1年工作经验,30-60万,,,https://www.liepin.com/a/7276121.shtml
嵌入式软件工程师（Embedded Linux）,美国知名扫码解码系统公司,,本科或以上,3年工作经验,20-30万,,,https://www.liepin.com/a/8708096.shtml
软件工程师	,深圳某自动化有限公司,,本科或以上,3年工作经验,10-20万,,,https://www.liepin.com/a/9301536.shtml
IQ图像质量工程师,深圳视觉科技有限公司,,本科或以上,3年工作经验,18-24万,,,https://www.liepin.com/job/195378541.shtml
Computer Vision Engineer 视觉图像算法工程师,蓝胖子机器人,,学历不限,经验不限,面议,,,https://www.liepin.com/job/196055723.shtml
图像质量工程师,深圳视觉科技有限公司,,大专或以上,1年工作经验,18-24万,,,https://www.liepin.com/job/194803629.shtml
图像识别算法工程师,泰山在线科技,,硕士或以上,5年工作经验,18-30万,,,https://www.liepin.com/job/196994524.shtml
高级软件工程师/图像算法工程师,景阳科技,,本科或以上,3年工作经验,13-39万,,,https://www.liepin.com/job/197656058.shtml
图像算法工程师,深圳市国科微半导体股份有限公司,,本科或以上,3年工作经验,12-24万,,,https://www.liepin.com/job/197662538.shtml
图像处理（调优）工程师,深圳市国科微半导体股份有限公司,,本科或以上,3年工作经验,12-24万,,,https://www.liepin.com/job/197683802.shtml
图像识别工程师,依偎科技,,本科或以上,3年工作经验,26-52万,,,https://www.liepin.com/job/197711107.shtml
产品经理（图影图像方向）,拓邦股份,,本科或以上,5年工作经验,面议,,,https://www.liepin.com/job/196995792.shtml
高级图像开发工程师,同为数码,,本科或以上,5年工作经验,18-30万,,,https://www.liepin.com/job/193725794.shtml
ISP图像工程师,英飞拓,,学历不限,2年工作经验,18-24万,,,https://www.liepin.com/job/195540541.shtml
专家图像工程师,同为数码,,本科或以上,5年工作经验,30-36万,,,https://www.liepin.com/job/197797769.shtml
图像算法工程师,菁优智慧教育,,硕士或以上,1年工作经验,12-29万,,,https://www.liepin.com/job/198068740.shtml
C++图形/图像识别技术和影像测距技术工程师,菲普莱,,本科或以上,3年工作经验,12-18万,,,https://www.liepin.com/job/198423033.shtml
图像处理算法工程师,道通科技,,本科或以上,3年工作经验,24-36万,,,https://www.liepin.com/job/198377153.shtml
图像算法工程师,TP-LINK,,本科或以上,1年工作经验,面议,,,https://www.liepin.com/job/198371800.shtml
图像测试工程师,Insta360,,本科或以上,2年工作经验,10-19万,,,https://www.liepin.com/job/197882402.shtml
图像算法工程师,深圳市魔眼科技有限公司,,本科或以上,2年工作经验,14-21万,,,https://www.liepin.com/job/198659996.shtml
Camera图像质量工程师,深网视界,,本科或以上,2年工作经验,18-24万,,,https://www.liepin.com/job/198170805.shtml
图像处理软件工程师,湖南融和微电子有限公司,,本科或以上,3年工作经验,12-18万,,,https://www.liepin.com/job/197730908.shtml
高级图像处理工程师,同为数码,,本科或以上,6年工作经验,18-30万,,,https://www.liepin.com/job/198367115.shtml
图像算法工程师,重庆港群实业集团有限公司,,本科或以上,10年工作经验,49-63万,,,https://www.liepin.com/job/198758377.shtml
C++软件工程师图像处理,深圳市汉森软件有限公司,,本科或以上,1年工作经验,10-18万,,,https://www.liepin.com/job/198325835.shtml
高级图像识别算法工程师,找房网,,硕士或以上,5年工作经验,面议,,,https://www.liepin.com/job/197968645.shtml
图像处理算法工程师,深圳某上市公司,,硕士或以上,3年工作经验,13-30万,,,https://www.liepin.com/a/9404533.shtml
图像算法工程师,某智能制造上市企业,,硕士或以上,1年工作经验,30-50万,,,https://www.liepin.com/a/8951654.shtml
图像算法工程师,某大型通信行业知名企业,,本科或以上,3年工作经验,20-30万,,,https://www.liepin.com/a/9397819.shtml
图像智能算法,某网络科技公司,,本科或以上,2年工作经验,20-40万,,,https://www.liepin.com/a/9070316.shtml
图像工程师,国内某全景相机公司,,本科或以上,1年工作经验,25-50万,,,https://www.liepin.com/a/9083740.shtml
图像算法高级工程师,国内某知名通信公司,,本科或以上,1年工作经验,30-60万,,,https://www.liepin.com/a/8901910.shtml
3A算法/图像算法/视频算法/美颜算法,某知名互联网及智能终端公司,,本科或以上,3年工作经验,50-80万,,,https://www.liepin.com/a/9065474.shtml
图像调优工程师,某专注做全景和VR产品公司,,本科或以上,4年工作经验,20-50万,,,https://www.liepin.com/a/9350958.shtml
系统研究工程师（图像处理）,国内知名医疗器械公司,,硕士或以上,1年工作经验,25-40万,,,https://www.liepin.com/a/9354318.shtml
高级视频图像研发专家,国内某上市公司,,本科或以上,5年工作经验,30-50万,,,https://www.liepin.com/a/9362657.shtml
图像工程师,国内某全景相机公司,,本科或以上,1年工作经验,25-50万,,,https://www.liepin.com/a/9083740.shtml
图像识别高级工程师,某基因公司,,本科或以上,3年工作经验,30-40万,,,https://www.liepin.com/a/9248789.shtml
图像处理工程师,某知名手机通信公司,,本科或以上,3年工作经验,25-35万,,,https://www.liepin.com/a/9330048.shtml
图像算法工程师,国内知名无人机企业,,本科或以上,2年工作经验,25-55万,,,https://www.liepin.com/a/9396472.shtml
视觉/图像识别研发工程师,知名集团先行技术研究院,,硕士或以上,3年工作经验,30-50万,,,https://www.liepin.com/a/8910682.shtml
语音技术/图像识别,国内大型家电企业,,本科或以上,5年工作经验,30-60万,,,https://www.liepin.com/a/8023900.shtml
图像调优工程师,创业型公司,,本科或以上,4年工作经验,20-50万,,,https://www.liepin.com/a/9350779.shtml
图像算法工程师,国内某牛掰上市互联网公司,,硕士或以上,3年工作经验,40-70万,,,https://www.liepin.com/a/9285933.shtml
图像算法工程师,某智能制造上市企业,,硕士或以上,1年工作经验,30-50万,,,https://www.liepin.com/a/8951654.shtml
图像算法工程师,上海某机器人技术有限公司,,本科或以上,2年工作经验,18-36万,,,https://www.liepin.com/a/9403605.shtml
图像处理算法工程师,深圳某上市公司,,硕士或以上,3年工作经验,13-30万,,,https://www.liepin.com/a/9404533.shtml
图像/算法总监,国际著名的消费类电子研发及生产企业,,本科或以上,8年工作经验,100-160万,,,https://www.liepin.com/a/8066366.shtml
IQ(图像处理）算法 副理/主任工程师,国内某电子公司,,本科或以上,3年工作经验,30-45万,,,https://www.liepin.com/a/9098671.shtml
图像优化,CES获奖黑科技品牌,,本科或以上,1年工作经验,50-80万,,,https://www.liepin.com/a/9252509.shtml
图象算法研发经理,泰爻光电,,本科或以上,5年工作经验,30-46万,,,https://www.liepin.com/job/198335215.shtml
高级ISP工程师,英飞拓,,学历不限,5年工作经验,12-24万,,,https://www.liepin.com/job/196547218.shtml
